Country;Obesity;Undernourished;Population;Deaths
Afghanistan;4.5;29.8;38928000;0.006185778874
Albania;22.3;6.2;2838000;0.05095137421
Algeria;26.6;3.9;44357000;0.006558153166
Angola;6.8;25;32522000;0.001460549782
Argentina;28.5;4.6;45377000;0.1082266346
Armenia;20.9;4.3;2956000;0.1053450609
Australia;30.4;2.5;25754000;0.003529548808
Austria;21.9;2.5;8914000;0.08967915638
Azerbaijan;19.9;2.5;10108000;0.03122279383
Bangladesh;3.4;14.7;169809000;0.004823065915
Barbados;24.8;3.9;287000;0.006271777003
Belarus;26.6;2.5;9375000;0.018912
Belgium;24.5;2.5;11515000;0.185427703
Belize;22.4;7.5;419000;0.07303102625
Benin;8.2;10.1;12209000;0.0004504873454
Bolivia;18.7;17.1;11633000;0.09243531333
Bosnia and Herzegovina;19.4;2.5;3281000;0.1455348979
Botswana;16.1;26.4;2317000;0.007034958999
Brazil;22.3;2.5;211812000;0.108602912
Bulgaria;27.4;3.6;6927000;0.1344160531
Burkina Faso;4.5;20;20903000;0.0006410563077
Cabo Verde;10.6;12.6;556000;0.02428057554
Cambodia;3.5;16.4;15497000;0
Cameroon;9.5;9.9;26598000;0.001782088879
Canada;31.3;2.5;38190000;0.05420267086
Central African Republic;6.3;59.6;4830000;0.001304347826
Chad;4.8;37.5;16877000;0.0007406529596
Chile;28.8;2.7;19470000;0.09704673857
China;6.6;8.5;1402385000;0.0003438428106
Colombia;22.1;4.8;49444000;0.1126385406
Congo;8.4;40.3;5518000;0.01451612903
Costa Rica;25.7;4.8;5111000;0.05227939738
Cote d'Ivoire;9;19;26175000;0.0006189111748
Croatia;27.1;2.5;4020000;0.127960199
Cuba;26.7;2.5;11281000;0.002065419732
Cyprus;22.6;5.6;1207000;0.01748135874
Czechia;28.5;2.5;10716000;0.1598450915
Denmark;21.3;2.5;5829000;0.03801681249
Djibouti;12.2;18.9;988000;0.006376518219
Dominica;28.2;6.2;72000;0
Dominican Republic;26.9;9.5;10500000;0.02667619048
Ecuador;19.3;7.9;17511000;0.08568328479
Egypt;31.1;4.5;100803000;0.009527494221
El Salvador;22.7;9;6481000;0.02581391761
Estonia;23.8;2.9;1331000;0.03425995492
